,x,y,z
0,1289523.0,-4670298.5,4134180.5
1,1289518.875,-4670299.0,4134181.0
2,1289522.75,-4670298.5,4134180.5
3,1289517.75,-4670299.0,4134181.25
4,1289522.375,-4670298.5,4134180.5
5,1289517.0,-4670299.0,4134181.5
6,1289522.0,-4670298.5,4134180.5
7,1289517.5,-4670299.0,4134181.75
8,1289521.375,-4670298.5,4134180.5
9,1289517.0,-4670299.0,4134182.0
10,1289520.5,-4670298.5,4134180.5
11,1289518.0,-4670299.0,4134182.25
12,1289518.5,-4670299.0,4134180.5
13,1289516.0,-4670299.5,4134180.75
14,1289523.0,-4670298.5,4134180.5
15,1289518.375,-4670299.0,4134181.0
16,1289522.75,-4670298.5,4134180.5
17,1289518.25,-4670299.0,4134181.25
18,1289522.375,-4670298.5,4134180.5
19,1289517.25,-4670299.0,4134181.5
20,1289522.125,-4670298.5,4134180.5
21,1289517.25,-4670299.0,4134181.75
22,1289521.375,-4670298.5,4134180.5
23,1289517.375,-4670299.0,4134182.0
24,1289520.375,-4670298.5,4134180.5
25,1289515.75,-4670299.5,4134182.75
26,1289518.5,-4670299.0,4134180.5
27,1289517.75,-4670299.0,4134182.5
28,1289515.875,-4670299.5,4134180.75
29,1289481.625,-4670304.5,4134192.5
30,1289523.0,-4670298.5,4134180.5
31,1289517.5,-4670299.0,4134181.0
32,1289522.75,-4670298.5,4134180.5
33,1289518.25,-4670299.0,4134181.25
34,1289522.375,-4670298.5,4134180.5
35,1289517.0,-4670299.0,4134181.5
36,1289522.0,-4670298.5,4134180.5
37,1289518.0,-4670299.0,4134181.75
38,1289521.25,-4670298.5,4134180.5
39,1289517.125,-4670299.0,4134182.0
40,1289520.375,-4670298.5,4134180.5
41,1289515.75,-4670299.5,4134182.75
42,1289518.5,-4670299.0,4134180.5
43,1289517.375,-4670299.0,4134180.75
44,1289523.0,-4670298.5,4134180.5
45,1289515.875,-4670299.5,4134181.0
46,1289522.75,-4670298.5,4134180.5
47,1289518.375,-4670299.0,4134181.25
48,1289522.375,-4670298.5,4134180.5
49,1289517.25,-4670299.0,4134181.5
50,1289522.0,-4670298.5,4134180.5
51,1289517.125,-4670299.0,4134181.75
52,1289521.25,-4670298.5,4134180.5
53,1289517.25,-4670299.0,4134182.0
54,1289520.375,-4670298.5,4134180.5
55,1289517.75,-4670299.0,4134182.25
56,1289518.375,-4670299.0,4134180.5
57,1289517.75,-4670299.0,4134180.75
58,1289481.625,-4670304.0,4134192.5
